Unnamed: 0,_time,_value,_field,_measurement
,2022-12-19T15:28:02Z,33.5,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:28:22Z,33.60000228881836,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:28:42Z,33.5,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:29:02Z,33.5,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:29:22Z,33.5,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:29:42Z,33.5,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:51:13Z,24.80000114440918,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:51:33Z,24.80000114440918,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:51:53Z,24.80000114440918,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:52:13Z,24.80000114440918,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:52:33Z,24.80000114440918,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:52:53Z,24.700000762939453,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:53:13Z,24.700000762939453,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:53:33Z,24.700000762939453,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:53:53Z,24.700000762939453,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:54:13Z,24.700000762939453,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:54:33Z,24.80000114440918,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:54:53Z,24.700000762939453,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:55:13Z,24.700000762939453,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:55:49Z,24.700000762939453,value,greal_K_WMZ_TR_Altbau
,2022-12-19T15:56:09Z,24.700000762939453,value,greal_K_WMZ_TR_Altbau
