Unnamed: 0,_time,_value,_field,_measurement
,2022-12-19T15:28:02Z,32.7400016784668,value,greal_K_WMZ_E_Sued
,2022-12-19T15:28:22Z,32.7400016784668,value,greal_K_WMZ_E_Sued
,2022-12-19T15:28:42Z,32.7400016784668,value,greal_K_WMZ_E_Sued
,2022-12-19T15:29:02Z,32.7400016784668,value,greal_K_WMZ_E_Sued
,2022-12-19T15:29:22Z,32.7400016784668,value,greal_K_WMZ_E_Sued
,2022-12-19T15:29:42Z,32.7400016784668,value,greal_K_WMZ_E_Sued
,2022-12-19T15:51:13Z,55.86000061035156,value,greal_K_WMZ_E_Sued
,2022-12-19T15:51:33Z,55.86000061035156,value,greal_K_WMZ_E_Sued
,2022-12-19T15:51:53Z,55.86000061035156,value,greal_K_WMZ_E_Sued
,2022-12-19T15:52:13Z,55.86000061035156,value,greal_K_WMZ_E_Sued
,2022-12-19T15:52:33Z,55.86000061035156,value,greal_K_WMZ_E_Sued
,2022-12-19T15:52:53Z,55.86000061035156,value,greal_K_WMZ_E_Sued
,2022-12-19T15:53:13Z,55.86000061035156,value,greal_K_WMZ_E_Sued
,2022-12-19T15:53:33Z,55.86000061035156,value,greal_K_WMZ_E_Sued
,2022-12-19T15:53:53Z,55.86000061035156,value,greal_K_WMZ_E_Sued
,2022-12-19T15:54:13Z,55.86000061035156,value,greal_K_WMZ_E_Sued
,2022-12-19T15:54:33Z,55.86000061035156,value,greal_K_WMZ_E_Sued
,2022-12-19T15:54:53Z,55.86000061035156,value,greal_K_WMZ_E_Sued
,2022-12-19T15:55:13Z,55.86000061035156,value,greal_K_WMZ_E_Sued
,2022-12-19T15:55:49Z,55.86000061035156,value,greal_K_WMZ_E_Sued
,2022-12-19T15:56:09Z,55.86000061035156,value,greal_K_WMZ_E_Sued
