Unnamed: 0,_time,_value,_field,_measurement
,2022-12-14T14:40:41Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T14:45:41Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T14:50:41Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T15:02:45Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T15:06:01Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T16:38:33Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T16:43:33Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T16:48:33Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T16:53:33Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T16:58:33Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T17:03:33Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T17:08:33Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T17:13:33Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T17:18:33Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T17:23:33Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T17:28:33Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T17:33:33Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T17:38:33Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T17:43:33Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T17:48:33Z,0.0,value,greal_AZ_WP_Energie
,2022-12-14T17:53:33Z,0.0,value,greal_AZ_WP_Energie
