Unnamed: 0,_time,_value,_field,_measurement
,2022-12-22T14:32:29Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:32:48Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:33:08Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:33:28Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:33:48Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:34:08Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:34:28Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:34:48Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:35:08Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:35:28Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:35:48Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:36:08Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:36:28Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:37:01Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:37:20Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:37:41Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:38:01Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:38:21Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:38:41Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:39:00Z,4.00789213180542,value,greal_Gas_bhkw2
,2022-12-22T14:39:21Z,4.00789213180542,value,greal_Gas_bhkw2
