Unnamed: 0,_time,_value,_field,_measurement
,2022-12-19T15:28:02Z,0.0,value,greal_K_WMZ_P_Nord
,2022-12-19T15:28:22Z,0.0,value,greal_K_WMZ_P_Nord
,2022-12-19T15:28:42Z,0.0,value,greal_K_WMZ_P_Nord
,2022-12-19T15:29:02Z,0.0,value,greal_K_WMZ_P_Nord
,2022-12-19T15:29:22Z,0.0,value,greal_K_WMZ_P_Nord
,2022-12-19T15:29:42Z,0.0,value,greal_K_WMZ_P_Nord
,2022-12-19T15:51:13Z,0.4699999988079071,value,greal_K_WMZ_P_Nord
,2022-12-19T15:51:33Z,0.4699999988079071,value,greal_K_WMZ_P_Nord
,2022-12-19T15:51:53Z,0.4699999988079071,value,greal_K_WMZ_P_Nord
,2022-12-19T15:52:13Z,0.4600000083446502,value,greal_K_WMZ_P_Nord
,2022-12-19T15:52:33Z,0.4600000083446502,value,greal_K_WMZ_P_Nord
,2022-12-19T15:52:53Z,0.4600000083446502,value,greal_K_WMZ_P_Nord
,2022-12-19T15:53:13Z,0.4600000083446502,value,greal_K_WMZ_P_Nord
,2022-12-19T15:53:33Z,0.4600000083446502,value,greal_K_WMZ_P_Nord
,2022-12-19T15:53:53Z,0.4600000083446502,value,greal_K_WMZ_P_Nord
,2022-12-19T15:54:13Z,0.4600000083446502,value,greal_K_WMZ_P_Nord
,2022-12-19T15:54:33Z,0.4600000083446502,value,greal_K_WMZ_P_Nord
,2022-12-19T15:54:53Z,0.4600000083446502,value,greal_K_WMZ_P_Nord
,2022-12-19T15:55:13Z,0.4600000083446502,value,greal_K_WMZ_P_Nord
,2022-12-19T15:55:49Z,0.449999988079071,value,greal_K_WMZ_P_Nord
,2022-12-19T15:56:09Z,0.449999988079071,value,greal_K_WMZ_P_Nord
